Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,103,7,Some Random Commen with Id 0
1,0,1,12,8,Some Random Commen with Id 1
2,0,1,30,9,Some Random Commen with Id 2
3,0,1,191,8,Some Random Commen with Id 3
4,0,1,160,0,Some Random Commen with Id 4
5,0,1,113,3,Some Random Commen with Id 5
6,2,1,132,5,Some Random Commen with Id 6
7,3,8,102,9,Some Random Commen with Id 7
8,3,8,154,5,Some Random Commen with Id 8
9,3,8,23,3,Some Random Commen with Id 9
10,3,8,182,5,Some Random Commen with Id 10
11,3,8,2,5,Some Random Commen with Id 11
12,3,8,12,6,Some Random Commen with Id 12
13,3,8,172,0,Some Random Commen with Id 13
14,3,8,74,0,Some Random Commen with Id 14
15,4,9,9,9,Some Random Commen with Id 15
16,4,9,42,5,Some Random Commen with Id 16
17,4,9,85,0,Some Random Commen with Id 17
18,4,9,194,9,Some Random Commen with Id 18
19,4,9,71,0,Some Random Commen with Id 19
20,7,3,78,6,Some Random Commen with Id 20
21,7,3,40,5,Some Random Commen with Id 21
22,7,3,88,0,Some Random Commen with Id 22
23,7,3,129,4,Some Random Commen with Id 23
24,7,3,183,5,Some Random Commen with Id 24
25,8,5,28,7,Some Random Commen with Id 25
26,8,5,47,7,Some Random Commen with Id 26
27,8,5,23,1,Some Random Commen with Id 27
28,8,5,59,0,Some Random Commen with Id 28
29,8,5,181,3,Some Random Commen with Id 29
30,8,5,168,9,Some Random Commen with Id 30
31,8,5,105,4,Some Random Commen with Id 31
32,8,5,115,5,Some Random Commen with Id 32
33,10,5,127,1,Some Random Commen with Id 33
34,10,5,50,4,Some Random Commen with Id 34
35,10,5,88,2,Some Random Commen with Id 35
36,10,5,134,1,Some Random Commen with Id 36
37,10,5,178,0,Some Random Commen with Id 37
38,10,5,92,2,Some Random Commen with Id 38
39,10,5,94,2,Some Random Commen with Id 39
40,10,5,164,4,Some Random Commen with Id 40
41,11,6,127,6,Some Random Commen with Id 41
42,11,6,126,1,Some Random Commen with Id 42
43,11,6,149,7,Some Random Commen with Id 43
44,11,6,5,9,Some Random Commen with Id 44
45,11,6,115,1,Some Random Commen with Id 45
46,13,7,75,4,Some Random Commen with Id 46
47,13,7,90,6,Some Random Commen with Id 47
48,14,5,52,7,Some Random Commen with Id 48
49,17,3,76,0,Some Random Commen with Id 49
50,18,0,99,2,Some Random Commen with Id 50
51,18,0,179,4,Some Random Commen with Id 51
52,18,0,110,5,Some Random Commen with Id 52
53,18,0,181,8,Some Random Commen with Id 53
54,19,7,4,1,Some Random Commen with Id 54
55,19,7,172,3,Some Random Commen with Id 55
56,19,7,60,5,Some Random Commen with Id 56
57,19,7,179,1,Some Random Commen with Id 57
58,19,7,76,2,Some Random Commen with Id 58
59,19,7,73,0,Some Random Commen with Id 59
60,20,4,38,0,Some Random Commen with Id 60
61,20,4,87,1,Some Random Commen with Id 61
62,21,8,16,5,Some Random Commen with Id 62
63,21,8,2,4,Some Random Commen with Id 63
64,21,8,25,2,Some Random Commen with Id 64
65,22,6,7,4,Some Random Commen with Id 65
66,22,6,128,7,Some Random Commen with Id 66
67,22,6,146,7,Some Random Commen with Id 67
68,23,9,112,7,Some Random Commen with Id 68
69,23,9,73,5,Some Random Commen with Id 69
70,23,9,48,7,Some Random Commen with Id 70
71,23,9,151,6,Some Random Commen with Id 71
72,23,9,28,6,Some Random Commen with Id 72
73,23,9,18,6,Some Random Commen with Id 73
74,23,9,87,4,Some Random Commen with Id 74
75,24,3,118,3,Some Random Commen with Id 75
76,24,3,128,1,Some Random Commen with Id 76
77,24,3,180,9,Some Random Commen with Id 77
78,24,3,131,3,Some Random Commen with Id 78
79,24,3,118,7,Some Random Commen with Id 79
80,24,3,132,9,Some Random Commen with Id 80
81,24,3,101,6,Some Random Commen with Id 81
82,25,3,49,4,Some Random Commen with Id 82
83,25,3,176,3,Some Random Commen with Id 83
84,25,3,98,7,Some Random Commen with Id 84
85,25,3,19,0,Some Random Commen with Id 85
86,26,0,56,1,Some Random Commen with Id 86
87,26,0,87,6,Some Random Commen with Id 87
88,26,0,155,3,Some Random Commen with Id 88
89,26,0,20,0,Some Random Commen with Id 89
90,26,0,106,2,Some Random Commen with Id 90
91,27,5,183,5,Some Random Commen with Id 91
92,27,5,197,9,Some Random Commen with Id 92
93,27,5,109,5,Some Random Commen with Id 93
94,27,5,194,0,Some Random Commen with Id 94
95,27,5,136,1,Some Random Commen with Id 95
96,27,5,133,8,Some Random Commen with Id 96
97,27,5,93,0,Some Random Commen with Id 97
98,27,5,23,6,Some Random Commen with Id 98
99,27,5,8,6,Some Random Commen with Id 99
100,28,2,181,8,Some Random Commen with Id 100
101,28,2,10,5,Some Random Commen with Id 101
102,28,2,46,5,Some Random Commen with Id 102
103,28,2,6,3,Some Random Commen with Id 103
104,28,2,154,7,Some Random Commen with Id 104
105,28,2,127,9,Some Random Commen with Id 105
106,28,2,47,8,Some Random Commen with Id 106
107,28,2,98,0,Some Random Commen with Id 107
108,29,1,20,3,Some Random Commen with Id 108
109,29,1,5,1,Some Random Commen with Id 109
110,29,1,190,0,Some Random Commen with Id 110
111,29,1,19,1,Some Random Commen with Id 111
112,29,1,74,3,Some Random Commen with Id 112
113,29,1,4,2,Some Random Commen with Id 113
114,29,1,157,7,Some Random Commen with Id 114
115,31,7,191,7,Some Random Commen with Id 115
116,31,7,185,3,Some Random Commen with Id 116
117,31,7,119,5,Some Random Commen with Id 117
118,31,7,39,5,Some Random Commen with Id 118
119,31,7,87,8,Some Random Commen with Id 119
120,31,7,192,3,Some Random Commen with Id 120
121,31,7,108,3,Some Random Commen with Id 121
122,31,7,32,5,Some Random Commen with Id 122
123,31,7,28,7,Some Random Commen with Id 123
124,32,0,158,2,Some Random Commen with Id 124
125,32,0,128,5,Some Random Commen with Id 125
126,33,7,48,1,Some Random Commen with Id 126
127,33,7,81,5,Some Random Commen with Id 127
128,33,7,99,9,Some Random Commen with Id 128
